year,level
1965.192, 126.2989
1965.536, 120.0773
1965.709, 118.2840
1965.884, 129.9363
1965.783, 127.3839
1966.068, 131.7946
1966.410, 128.9925
1966.663, 126.8821
1966.636, 124.4173
1966.621, 119.2212
1966.636, 122.0978
1966.760, 135.9915
1966.747, 133.5250
1966.747, 131.6727
1966.962, 138.8146
1967.174, 140.7034
1967.507, 137.7716
1967.703, 135.1920
1967.767, 144.1382
1967.711, 142.3617
1967.711, 140.6255
1967.730, 138.2885
1967.823, 148.3102
1967.748, 146.2323
1968.064, 150.2221
1968.366, 147.7828
1968.546, 146.0072
1968.688, 149.4112
1968.817, 152.9359
1969.028, 155.1870
1969.324, 152.7001
1969.602, 150.9225
1969.751, 155.2802
1969.713, 152.8629
1969.917, 158.8336
1969.751, 156.8560
1970.066, 159.8637
1970.376, 156.5794
1970.288, 158.7656
1970.651, 155.3511
1970.789, 159.3273
1970.715, 157.1914
1970.927, 161.9565
1971.104, 163.4886
1971.401, 161.1086
1971.649, 159.2351
1971.753, 161.9228
1971.940, 166.0449
1971.790, 163.5651
1972.253, 165.6214
1972.646, 161.3289
1972.892, 163.5092
1973.180, 162.9234
1973.325, 160.6514
1973.682, 158.8386
1973.607, 156.4972
1973.730, 162.2264
1973.982, 164.6489
1974.299, 162.3726
1974.521, 158.9196
1974.541, 160.9047
1974.700, 163.8917
1974.823, 167.2044
1975.054, 168.7999
1975.331, 167.6092
1975.521, 165.6243
1975.757, 170.0105
1975.720, 168.4305
1975.729, 166.2251
1975.850, 172.6718
1976.072, 174.4853
1976.396, 172.3301
1976.884, 174.1647
1977.222, 173.9812
1977.629, 171.2546
1977.778, 173.7641
1978.000, 175.4818
1978.569, 171.7903
1978.875, 174.8863
1979.038, 175.9169
1979.343, 173.9496
1979.618, 172.4628
1979.920, 174.2200
1980.286, 172.3137
1980.587, 170.5024
1980.725, 173.0286
1980.966, 174.8588
1981.269, 172.6574
1981.551, 171.0513
1982.005, 174.3190
1982.305, 171.8675
1982.590, 169.8306
1982.954, 170.8276
1983.210, 168.5841
1983.508, 166.1263
1983.870, 166.6084
1983.970, 168.5206
1984.327, 164.5924
1984.248, 166.8877
1984.771, 161.8718
1985.082, 161.4891
1985.193, 159.5400
1985.498, 157.9317
1985.694, 161.0121
1985.650, 158.6958
1985.935, 162.7632
1986.312, 158.7425
1986.194, 161.2578
1986.594, 157.3634
1986.796, 160.2832
1986.884, 161.5811
1987.158, 159.1728
1987.325, 157.0430
1987.572, 155.4572
1987.937, 157.0862
1988.192, 155.1012
1988.550, 152.8530
1988.697, 160.7249
1988.623, 158.7234
1988.678, 156.3214
1988.586, 155.2675
1988.709, 164.3268
1988.995, 166.8231
1989.309, 166.0799
1989.550, 164.2728
1989.698, 166.5680
1989.939, 168.4673
1990.293, 166.3823
1990.416, 164.0619
1990.689, 164.1204
1990.903, 166.9756
1991.220, 164.6126
1991.126, 166.4738
1991.601, 163.8265
1991.867, 167.4931
1992.187, 166.8399
1992.537, 164.9866
1992.683, 163.5767
1993.050, 169.4656
1993.355, 167.4587
1993.610, 166.1928
1993.628, 169.1312
1993.832, 172.0320
1994.033, 173.0558
1994.256, 171.0766
1994.543, 169.6714
1994.681, 173.1554
1994.592, 170.8825
1994.907, 175.7469
1995.204, 174.6170
1995.437, 172.0302
1995.564, 173.2858
1995.908, 174.9263
1996.287, 173.1097
1996.621, 173.6771
1996.808, 176.7493
1997.086, 177.1053
1997.466, 175.6987
1997.874, 177.1554
1998.133, 176.8212
1998.571, 174.5391
1998.736, 177.2380
1998.918, 179.2390
1999.587, 176.0289
1999.788, 179.1259
1999.931, 179.8599
2000.199, 177.8822
2000.341, 175.9817
2000.528, 174.9760
2000.710, 177.6856
2000.918, 178.9942
2001.210, 177.3599
2001.453, 175.9482
2001.791, 178.9890
2002.100, 178.4027
2002.304, 176.5880
2002.502, 174.6331
2002.842, 176.2591
2003.233, 173.2524
2003.101, 175.2916
2003.550, 172.5012
2003.602, 174.8972
2003.880, 176.3484
2004.177, 174.8164
2004.395, 172.5712
2004.585, 170.9264
1967.702, 132.9953
1984.783, 163.6560
1985.617, 156.3457
1986.551, 156.3492
1988.553, 150.8343
1990.621, 162.6330
1991.522, 162.0394
1992.690, 168.0139
1996.460, 171.3115
2001.564, 174.6142
1965.400, 123.8822
1965.601, 117.3158
